x,y1,y2,y3,y4
0.0000,1.00001,0.3000,-1.2000,1.00001
0.0126,0.9999,0.2999,-1.1998,0.9994
0.0251,0.9997,0.2997,-1.1992,0.9978
0.0377,0.9993,0.2994,-1.1982,0.9950
0.0503,0.9987,0.2989,-1.1968,0.9912
0.0628,0.9980,0.2982,-1.1950,0.9863
0.0754,0.9972,0.2975,-1.1928,0.9803
0.0880,0.9962,0.2965,-1.1901,0.9732
0.1005,0.9950,0.2955,-1.1869,0.9652
0.1131,0.9937,0.2943,-1.1833,0.9561
0.1257,0.9922,0.2930,-1.1792,0.9461
0.1382,0.9906,0.2915,-1.1746,0.9351
0.1508,0.9889,0.2899,-1.1695,0.9232
0.1634,0.9870,0.2882,-1.1640,0.9104
0.1759,0.9850,0.2863,-1.1579,0.8968
0.1885,0.9829,0.2844,-1.1513,0.8823
0.2011,0.9807,0.2823,-1.1442,0.8671
0.2136,0.9783,0.2801,-1.1365,0.8512
0.2262,0.9758,0.2777,-1.1284,0.8346
0.2388,0.9732,0.2753,-1.1197,0.8173
0.2513,0.9705,0.2727,-1.1104,0.7994
0.2639,0.9677,0.2701,-1.1006,0.7810
0.2765,0.9649,0.2674,-1.0903,0.7620
0.2890,0.9619,0.2645,-1.0794,0.7426
0.3016,0.9588,0.2616,-1.0679,0.7227
0.3142,0.9557,0.2586,-1.0559,0.7025
0.3267,0.9525,0.2555,-1.0433,0.6819
0.3393,0.9493,0.2524,-1.0302,0.6610
0.3519,0.9460,0.2492,-1.0165,0.6399
0.3644,0.9427,0.2459,-1.0023,0.6185
0.3770,0.9393,0.2426,-0.9875,0.5970
0.3896,0.9359,0.2393,-0.9721,0.5753
0.4021,0.9325,0.2359,-0.9562,0.5534
0.4147,0.9290,0.2326,-0.9398,0.5315
0.4273,0.9255,0.2292,-0.9228,0.5096
0.4398,0.9221,0.2258,-0.9053,0.4876
0.4524,0.9186,0.2225,-0.8872,0.4656
0.4650,0.9152,0.2191,-0.8686,0.4437
0.4775,0.9118,0.2158,-0.8495,0.4217
0.4901,0.9084,0.2126,-0.8298,0.3999
0.5027,0.9050,0.2094,-0.8097,0.3781
0.5152,0.9017,0.2063,-0.7890,0.3563
0.5278,0.8984,0.2032,-0.7679,0.3347
0.5404,0.8952,0.2003,-0.7463,0.3132
0.5529,0.8921,0.1975,-0.7242,0.2917
0.5655,0.8890,0.1948,-0.7016,0.2704
0.5781,0.8860,0.1922,-0.6786,0.2492
0.5906,0.8831,0.1898,-0.6552,0.2280
0.6032,0.8803,0.1876,-0.6313,0.2069
0.6158,0.8776,0.1855,-0.6070,0.1859
0.6283,0.8750,0.1836,-0.5823,0.1650
